title,date,url
LeBron James: Cleveland Cavaliers return for NBA star,11 July 2014,https://www.bbc.co.uk/sport/basketball/28272054
Olympics basketball: LeBron James leads US to narrow victory,4 August 2012,https://www.bbc.co.uk/sport/olympics/19129585
Basketball star Lebron James 'just getting started',25 July 2013,https://www.bbc.co.uk/news/world-us-canada-23445547
NBA: Joel Embiid stars as Philadelphia 76ers beat Miami Heat; LeBron James guides LA Lakers to win,13 January 2021,https://www.bbc.co.uk/sport/basketball/55643741
LA Lakers win NBA Finals: 'LeBron James' legacy & a fitting farewell to Kobe Bryant',12 October 2020,https://www.bbc.co.uk/sport/basketball/54511347
NBA: LeBron James can emulate Michael Jordan - Didier Drogba,21 June 2013,https://www.bbc.co.uk/sport/av/basketball/23001399
LeBron James in talks on David Beckham Miami MLS team,18 November 2013,https://www.bbc.co.uk/sport/football/24995887
LeBron James: Where will the NBA's biggest star play next?,29 June 2014,https://www.bbc.co.uk/sport/basketball/28060173
NBA Finals: Can the Miami Heat stop LeBron James and the Los Angeles Lakers?,30 September 2020,https://www.bbc.co.uk/sport/av/basketball/54356653
LeBron James becomes minority stakeholder in Liverpool,6 April 2011,https://www.bbc.co.uk/sport/football/12994144
50 worldwide contenders for 2012: LeBron James,21 July 2011,https://www.bbc.co.uk/sport/olympics/14242035
LeBron James says Great Britain's Luol Deng is a 'great player',25 February 2012,https://www.bbc.co.uk/sport/av/basketball/17164521
LeBron James - Is Dunking Better Than Sex?,11 September 2009,http://www.bbc.co.uk/blogs/aceandvis/2009/09/lebron_james_is_dunking_better.shtml
Olympic gold is the ultimate - LeBron James,30 July 2008,http://news.bbc.co.uk/sport1/hi/olympics/basketball/7532894.stm
NBA play-offs: LeBron James stars as Los Angeles Lakers reach Western Conference final,13 September 2020,https://www.bbc.co.uk/sport/basketball/54136511
US basketball star LeBron James to move to Miami Heat,9 July 2010,https://www.bbc.co.uk/news/10565378
LeBron James on fire as Cavaliers beat Pistons,22 March 2010,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/8579552.stm
Lebron James bags 40 points in Friday's NBA,6 March 2010,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/8553398.stm
London 2012: LeBron James and Kobe Bryant in US Olympic squad,16 January 2012,https://www.bbc.co.uk/sport/basketball/16586122
'Eye watering' pay for LeBron James,9 July 2010,http://news.bbc.co.uk/today/hi/today/newsid_8803000/8803332.stm
NBA Finals: Can the Miami Heat stop LeBron James and the Los Angeles Lakers?,30 September 2020,https://www.bbc.co.uk/sport/basketball/54352275
Sportsworld: The story of LeBron James,16 August 2020,https://www.bbc.co.uk/programmes/p08nsfhs
LeBron James secures $100m for media company,25 June 2020,https://www.bbc.co.uk/news/world-us-canada-53186472
